ticket_id,customer_name,customer_tier,subject,product_area,ai_category,ai_urgency,ai_sentiment,recommended_queue,escalation_flag,confidence_score,triage_reason,fallback_applied,processed_at,assigned_team,destination_system,delivery_action,vip_flag,sla_risk,priority_score
,,,,,bug_report,medium,neutral,technical_support,FALSE,0.85,"The ticket describes a bug related to missing columns in an exported CSV, which is a common technical issue.",FALSE,2026-03-10T15:04:10.464-04:00,Technical Support,Jira Service Management,Create technical review work item,FALSE,low,60
,,,,,feature_request,low,neutral,product_feedback,FALSE,0.9,"This is a feature request for exporting dashboard data, applicable for starter tier.",FALSE,2026-03-10T15:04:13.572-04:00,Product Feedback,Product Intake Board,Log feature request for product review,FALSE,low,30
,,,,,feature_request,medium,positive,product_feedback,FALSE,0.9,Customer is suggesting a new feature that would enhance user experience.,FALSE,2026-03-10T15:04:13.573-04:00,Product Feedback,Product Intake Board,Log feature request for product review,FALSE,low,60
,,,,,feature_request,medium,neutral,product_feedback,FALSE,0.9,Customer is requesting a feature to improve their user management process.,FALSE,2026-03-10T15:04:13.573-04:00,Product Feedback,Product Intake Board,Log feature request for product review,FALSE,low,60
,,,,,account_management,low,neutral,customer_success,FALSE,0.9,"User is looking to change their email address, which is a common account management request.",FALSE,2026-03-10T15:04:15.435-04:00,Customer Success,CRM / CSM Queue,Create customer success follow-up task,FALSE,low,30
,,,,,integration_api,low,neutral,customer_success,FALSE,0.85,General inquiry about API rate limits.,FALSE,2026-03-10T15:04:15.435-04:00,Customer Success,CRM / CSM Queue,Create customer success follow-up task,FALSE,low,30
,,,,,account_management,medium,frustrated,customer_success,FALSE,0.85,"Customer is unable to cancel their account, indicating confusion or difficulty with the account management process.",FALSE,2026-03-10T15:04:15.436-04:00,Customer Success,CRM / CSM Queue,Create customer success follow-up task,FALSE,low,60
,,,,,account_management,low,neutral,customer_success,FALSE,0.85,"User is asking how to invite teammates, indicating a need for guidance in account management.",FALSE,2026-03-10T15:04:15.436-04:00,Customer Success,CRM / CSM Queue,Create customer success follow-up task,FALSE,low,30
,,,,,login_access,critical,frustrated,urgent_escalations,TRUE,0.95,"Authentication failure after password reset affecting an enterprise customer, blocking business operations.",FALSE,2026-03-10T15:04:17.330-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,integration_api,critical,negative,urgent_escalations,TRUE,0.95,"The issue involves an API returning a 500 error affecting an enterprise customer, blocking business operations.",FALSE,2026-03-10T15:04:17.330-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,account_management,high,frustrated,urgent_escalations,TRUE,0.95,Authentication failures for enterprise customers affecting the ability to add users.,FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,90
,,,,,performance_issue,high,frustrated,urgent_escalations,TRUE,0.9,The issue affects multiple users and blocks business operations.,FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,90
,,,,,login_access,critical,frustrated,urgent_escalations,TRUE,1,System outage affecting multiple users which is blocking business operations.,FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,login_access,critical,frustrated,urgent_escalations,TRUE,1,The issue affects multiple users and involves authentication failures for enterprise customers.,FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,performance_issue,high,frustrated,urgent_escalations,TRUE,0.9,"The issue affects multiple users, involves high latency impacting automation jobs, and blocks business operations.",FALSE,2026-03-10T15:04:17.331-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,90
,,,,,bug_report,critical,frustrated,urgent_escalations,TRUE,0.95,The issue affects multiple users and blocks business operations due to data loss.,FALSE,2026-03-10T15:04:17.332-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,100
,,,,,login_access,high,negative,urgent_escalations,TRUE,0.9,The issue involves unauthorized access attempts and affects multiple users in an enterprise setting.,FALSE,2026-03-10T15:04:17.332-04:00,Urgent Escalations,Incident Escalation Process,Trigger urgent escalation workflow,FALSE,high,90
